Molecule_ID,BindingDB_ID,SMILES,Target_Class,Specific_Target,MW,logP,TPSA,HBD,HBA,nRotB,nArom,MW_normalized,logP_normalized,TPSA_normalized,HBD_normalized,HBA_normalized,nRotB_normalized,nArom_normalized,pActivity,Ki_M,Assay_Type,Temperature_C,pH,Scaffold_ID,Cluster_ID,Split,Date_Added
GPCR_0145,BDBM846525,C1CC(CCC1N)c2ccccc2S(=O)(=O)N,GPCR,Adrenergic_Beta2,254.35500000000002,1.3189000000000004,86.18,2,3,2,1,0.7041300992502713,-0.4708294514696396,1.1727209095402045,0.3140535153918265,0.12045466604305038,-0.7194993845091349,-0.4885292248583149,9.0,1e-09,Direct_Binding,37,6.96806905423429,Scaffold_104,Cluster_049,Train,2024-01-01 10:00:00
Kinase_0430,BDBM132792,c1ccc2c(c1)ncc(n2)c3ccccc3N(C)C,Kinase,CDK2,249.31699999999998,3.362800000000002,29.020000000000003,0,3,2,3,0.5516283163169731,1.1088831853111523,-1.259340716759256,-1.9364783899602027,0.12045466604305038,-0.7194993845091349,1.4277904424775893,7.666295077036534,7.791749987835235e-09,Direct_Binding,25,6.886540506823028,Scaffold_187,Cluster_023,Train,2024-01-01 11:00:00
GPCR_0098,BDBM833232,C1CC(CCC1N)c2ccccc2N,GPCR,Adrenergic_Beta2,190.29000000000002,2.2537000000000003,52.04,2,2,1,1,-1.2351368169112356,0.25166938549042844,-0.2798785292607681,0.3140535153918265,-0.7582577898393464,-1.3726528096588775,-0.4885292248583149,9.0,1e-09,Direct_Binding,20,7.144745248576818,Scaffold_017,Cluster_079,Train,2024-01-01 12:00:00
GPCR_0148,BDBM699672,C1CN(CCN1)c2ccc(cc2)NOC,GPCR,Dopamine_D2,207.277,1.0694999999999997,36.53,2,4,3,1,-0.7209351919235597,-0.6635885549547076,-0.9398028788742151,0.3140535153918265,0.9991671219254472,-0.06634595935939212,-0.4885292248583149,8.757840335609975,1.3753259637634613e-09,Functional,37,6.654492204004926,Scaffold_205,Cluster_151,Train,2024-01-01 13:00:00
Protease_0074,BDBM511223,CC(C)CC(NC(=O)C)C(=O)NC,Protease,Factor_Xa,186.25499999999997,0.28319999999999995,58.2,2,2,4,0,-1.3572774866484054,-1.2713130259663694,-0.017780915229895392,0.3140535153918265,-0.7582577898393464,0.5868074657903506,-1.446689058526267,7.420809966587047,1.0365887477091697e-07,Enzymatic,37,7.353317186666586,Scaffold_051,Cluster_147,Train,2024-01-01 14:00:00
Kinase_0406,BDBM958835,c1ccc2c(c1)ncc(n2)c3ccccc3,Kinase,ABL1,206.248,3.296800000000001,25.78,0,2,1,3,-0.7520833329792092,1.057872356000749,-1.3971972540092605,-1.9364783899602027,-0.7582577898393464,-1.3726528096588775,1.4277904424775893,8.025451489852125,1.4242556273416013e-08,Direct_Binding,37,7.0430245839576635,Scaffold_169,Cluster_139,Train,2024-01-01 15:00:00
Protease_0288,BDBM847717,CC(C)CC(NC(=O)C)C(=O)NNCCC,Protease,Factor_Xa,229.32399999999996,0.5680000000000005,70.23,3,3,7,0,-0.0535658373522231,-1.051193568578449,0.4940753017816951,1.4393194680678412,0.12045466604305038,2.5462677412395784,-1.446689058526267,7.528524986487055,1.8607291125849567e-08,Direct_Binding,20,7.321839322752902,Scaffold_260,Cluster_045,Train,2024-01-01 16:00:00
Kinase_0356,BDBM608876,c1ccc2c(c1)ncc(n2)c3ccccc3C(=O)N,Kinase,ABL1,249.27299999999997,2.3956999999999993,68.87,1,3,2,3,0.5502964230162453,0.36141995764311236,0.43620959478786614,-0.811212437284188,0.12045466604305038,-0.7194993845091349,1.4277904424775893,7.043129595304329,7.1263445892712e-08,Enzymatic,20,6.88798675994687,Scaffold_035,Cluster_165,Train,2024-01-01 17:00:00
GPCR_0217,BDBM773292,C1CN(CCN1)c2ccc(cc2)SOCCO,GPCR,Dopamine_D2,254.35499999999996,1.1121999999999999,44.730000000000004,2,5,5,1,0.7041300992502695,-0.6305860941735832,-0.5909067043525988,0.3140535153918265,1.877879577807844,1.2399608909400932,-0.4885292248583149,9.0,1e-09,Direct_Binding,37,7.490108846086866,Scaffold_139,Cluster_081,Train,2024-01-01 18:00:00
Protease_0157,BDBM816881,C1CCC(CC1)NC(=O)C(C)NS,Protease,Thrombin,202.32300000000004,1.2581999999999998,41.13,3,3,3,0,-0.8708942694645573,-0.5177439566081469,-0.7440806346303815,1.4393194680678412,0.12045466604305038,-0.06634595935939212,-1.446689058526267,8.180369870000858,1.8032688917327527e-08,Direct_Binding,20,6.7175879399316445,Scaffold_284,Cluster_013,Train,2024-01-01 19:00:00
Protease_0087,BDBM103499,c1cc(ccc1S(=O)(=O)N)CC(=O)NS,Protease,Thrombin,246.313,-0.16249999999999992,89.25999999999999,3,4,3,1,0.46069632824003326,-1.6157907020822255,1.3037697165556401,1.4393194680678412,0.9991671219254472,-0.06634595935939212,-0.4885292248583149,8.426215584813393,6.233953058486401e-09,Enzymatic,37,6.846958950377585,Scaffold_274,Cluster_137,Train,2024-01-01 20:00:00
Kinase_0140,BDBM551344,c1cc(ccc1C(=O)N)Nc2nccc(n2),Kinase,ABL1,214.228,1.3191,80.9,2,4,3,2,-0.5105263207109058,-0.47067487319900236,0.9480658117994566,0.3140535153918265,0.9991671219254472,-0.06634595935939212,0.46963060880963725,6.487799352534907,2.857482464130618e-07,Functional,25,6.5420246751714055,Scaffold_276,Cluster_008,Train,2024-01-01 21:00:00
Kinase_0257,BDBM564478,c1cc(ccc1C(=O)N)Nc2nccc(n2),Kinase,VEGFR2,214.228,1.3191,80.9,2,4,3,2,-0.5105263207109058,-0.47067487319900236,0.9480658117994566,0.3140535153918265,0.9991671219254472,-0.06634595935939212,0.46963060880963725,6.8624656723779935,3.3085324829485016e-07,Direct_Binding,37,7.407611002556555,Scaffold_041,Cluster_013,Train,2024-01-01 22:00:00
Protease_0346,BDBM316456,c1ccc(cc1)C(=O)NC(C)C(=O)OCN(C)C,Protease,Factor_Xa,250.29799999999994,0.8671999999999997,58.64000000000001,1,4,5,1,0.581323482862737,-0.8199444757046238,0.00094034291516714,-0.811212437284188,0.9991671219254472,1.2399608909400932,-0.4885292248583149,7.567022445888248,2.482112774088276e-08,Enzymatic,37,7.256646549352399,Scaffold_029,Cluster_078,Train,2024-01-01 23:00:00
Protease_0262,BDBM572253,C1CCC(CC1)NC(=O)C(C)NC(=O)O,Protease,Trypsin,214.26500000000001,1.0914,78.43,3,2,3,0,-0.5094063195262029,-0.6466622343198919,0.8429714763033114,1.4393194680678412,-0.7582577898393464,-0.06634595935939212,-1.446689058526267,8.021719247936145,6.778628512067974e-09,Functional,25,6.612397027176013,Scaffold_229,Cluster_099,Train,2024-01-02 00:00:00
Protease_0141,BDBM858183,C1CCC(CC1)NC(=O)C(C)NC(C)C,Protease,Trypsin,212.33700000000002,1.8217999999999996,41.13,2,2,4,0,-0.567767462339898,-0.08214238995143494,-0.7440806346303815,0.3140535153918265,-0.7582577898393464,0.5868074657903506,-1.446689058526267,7.708969146840095,3.335846219134774e-08,Direct_Binding,30,7.07654498995114,Scaffold_268,Cluster_049,Train,2024-01-02 01:00:00
Kinase_0250,BDBM113228,c1cc(ccc1N)c2ncnc3c2cc(cc3)NCCC,Kinase,EGFR,278.3590000000001,3.7009000000000016,63.83,2,4,4,3,1.4307384354016948,1.370197751823988,0.2217660923989701,0.3140535153918265,0.9991671219254472,0.5868074657903506,1.4277904424775893,7.843384256644144,1.758321637518975e-08,Direct_Binding,30,7.202258766031664,Scaffold_127,Cluster_091,Train,2024-01-02 02:00:00
Kinase_0214,BDBM344119,c1ccc2c(c1)ncc(n2)c3ccccc3,Kinase,CDK2,206.248,3.296800000000001,25.78,0,2,1,3,-0.7520833329792092,1.057872356000749,-1.3971972540092605,-1.9364783899602027,-0.7582577898393464,-1.3726528096588775,1.4277904424775893,8.02973268769587,1.410878825683265e-08,Functional,37,7.006266059495203,Scaffold_126,Cluster_138,Train,2024-01-02 03:00:00
Kinase_0313,BDBM262520,c1cc(ccc1C(=O)N)Nc2nccc(n2),Kinase,ABL1,214.228,1.3191,80.9,2,4,3,2,-0.5105263207109058,-0.47067487319900236,0.9480658117994566,0.3140535153918265,0.9991671219254472,-0.06634595935939212,0.46963060880963725,6.796241452348204,8.781289987829745e-08,Enzymatic,30,6.806313498778213,Scaffold_132,Cluster_014,Train,2024-01-02 04:00:00
GPCR_0032,BDBM230738,c1cc(ccc1O)CCNNC(=O)N,GPCR,Serotonin_5HT2A,195.22199999999998,0.10760000000000008,87.38,4,3,4,1,-1.0858436860206013,-1.407032747586168,1.223778886299465,2.5645854207438554,0.12045466604305038,0.5868074657903506,-0.4885292248583149,9.0,1e-09,Functional,37,6.939740486507908,Scaffold_094,Cluster_176,Train,2024-01-02 05:00:00
Protease_0282,BDBM850609,c1cc(ccc1S(=O)(=O)N)CS,Protease,Factor_Xa,203.28799999999998,0.7638,60.16,2,3,2,1,-0.841683427755422,-0.8998614416242546,0.0656137801435638,0.3140535153918265,0.12045466604305038,-0.7194993845091349,-0.4885292248583149,8.09531832336192,1.4070934167821096e-08,Direct_Binding,20,7.1966889878731966,Scaffold_126,Cluster_112,Train,2024-01-02 06:00:00
Kinase_0137,BDBM414164,c1cc(ccc1N)c2ncnc3c2cc(cc3)C(=O)N,Kinase,EGFR,264.288,1.9778999999999995,94.89,2,4,2,3,1.0048050118895007,0.03850595028119939,1.5433167241845063,0.3140535153918265,0.9991671219254472,-0.7194993845091349,1.4277904424775893,6.817521006149565,1.3611159867043893e-07,Direct_Binding,30,7.4768003285106595,Scaffold_117,Cluster_131,Train,2024-01-02 07:00:00
Kinase_0060,BDBM187295,c1ccc2c(c1)ncc(n2)c3ccccc3C(C)C,Kinase,ABL1,248.32899999999998,4.420200000000002,25.78,0,2,2,3,0.5217212576551832,1.9261385021720598,-1.3971972540092605,-1.9364783899602027,-0.7582577898393464,-0.7194993845091349,1.4277904424775893,8.337383769068357,8.5820396652243e-09,Enzymatic,37,6.9177609792751,Scaffold_234,Cluster_135,Train,2024-01-02 08:00:00
Kinase_0360,BDBM409030,c1cc(ccc1C(=O)N)Nc2nccc(n2)NC,Kinase,ABL1,243.27,1.3608,92.93,3,5,4,2,0.36858379837381267,-0.43844530377106605,1.459922028811047,1.4393194680678412,1.877879577807844,0.5868074657903506,0.46963060880963725,6.540495358467152,2.948567642785508e-07,Direct_Binding,30,6.95852300888189,Scaffold_091,Cluster_046,Train,2024-01-02 09:00:00
Kinase_0281,BDBM228074,c1ccc(cc1)NC(=O)Nc2ccc(cc2),Kinase,CDK2,212.252,3.3306000000000004,41.13,2,1,2,2,-0.5703404380344854,1.0839960837385003,-0.7440806346303815,0.3140535153918265,-1.6369702457217434,-0.7194993845091349,0.46963060880963725,7.474673601787687,3.258196041737505e-08,Enzymatic,30,7.4417257116189255,Scaffold_021,Cluster_131,Train,2024-01-02 10:00:00
GPCR_0150,BDBM998422,C1CC(CCC1N)c2ccccc2CC,GPCR,Adrenergic_Beta2,203.329,3.233900000000002,26.02,1,1,2,1,-0.8404423453615616,1.0092574898852296,-1.3869856586574083,-0.811212437284188,-1.6369702457217434,-0.7194993845091349,-0.4885292248583149,8.498489143184704,4.150897661775486e-09,Functional,30,6.92998521412106,Scaffold_137,Cluster_095,Train,2024-01-02 11:00:00
Protease_0294,BDBM944311,c1cc(ccc1S(=O)(=O)N)COC,Protease,Factor_Xa,201.24699999999996,0.48040000000000027,69.39,1,3,3,1,-0.9034651147278046,-1.118898851117711,0.4583347180502123,-0.811212437284188,0.12045466604305038,-0.06634595935939212,-0.4885292248583149,7.63932836938008,1.9019437231796155e-08,Direct_Binding,30,7.411818569539447,Scaffold_283,Cluster_175,Train,2024-01-02 12:00:00
Kinase_0310,BDBM598357,c1cc(ccc1N)c2ncnc3c2cc(cc3)CCCl,Kinase,EGFR,283.762,3.660300000000001,51.8,1,3,3,3,1.5942888786705693,1.3388183628845582,-0.2900901246126204,-0.811212437284188,0.12045466604305038,-0.06634595935939212,1.4277904424775893,7.691652102134916,1.489266834758706e-08,Direct_Binding,25,6.929931077390148,Scaffold_143,Cluster_179,Train,2024-01-02 13:00:00
Kinase_0175,BDBM385071,c1cc(ccc1C(=O)N)Nc2nccc(n2)C(C)CNC,Kinase,EGFR,285.351,1.6420000000000001,92.93,3,5,6,2,1.642388389008205,-0.2211082552546227,1.459922028811047,1.4393194680678412,1.877879577807844,1.8931143160898358,0.46963060880963725,6.620341619899503,1.5211919062259157e-07,Direct_Binding,20,6.578969162190829,Scaffold_047,Cluster_012,Train,2024-01-02 14:00:00
Kinase_0433,BDBM608947,c1cc(ccc1C(=O)N)Nc2nccc(n2),Kinase,CDK2,214.228,1.3191,80.9,2,4,3,2,-0.5105263207109058,-0.47067487319900236,0.9480658117994566,0.3140535153918265,0.9991671219254472,-0.06634595935939212,0.46963060880963725,6.632017974833317,2.517601080979522e-07,Direct_Binding,20,7.077279029233131,Scaffold_098,Cluster_055,Train,2024-01-02 15:00:00
GPCR_0187,BDBM854109,C1CC(CCC1N)c2ccccc2C(C)C,GPCR,Dopamine_D2,217.35600000000002,3.794900000000002,26.02,1,1,2,1,-0.41584081515009685,1.4428495390236529,-1.3869856586574083,-0.811212437284188,-1.6369702457217434,-0.7194993845091349,-0.4885292248583149,8.709084569250566,1.8445359137825655e-09,Functional,37,7.1773931298888725,Scaffold_033,Cluster_026,Train,2024-01-02 16:00:00
Protease_0225,BDBM375250,C1CCC(CC1)NC(=O)C(C)NOCCO,Protease,Trypsin,230.308,0.3373,70.59,3,4,6,0,-0.023779859899589136,-1.2294996037589028,0.5093926948094734,1.4393194680678412,0.9991671219254472,1.8931143160898358,-1.446689058526267,7.906711803103457,1.7640139613053058e-08,Enzymatic,25,6.963985417440381,Scaffold_068,Cluster_118,Train,2024-01-02 17:00:00
Kinase_0429,BDBM287316,c1ccc(cc1)NC(=O)Nc2ccc(cc2),Kinase,CDK2,212.252,3.3306000000000004,41.13,2,1,2,2,-0.5703404380344854,1.0839960837385003,-0.7440806346303815,0.3140535153918265,-1.6369702457217434,-0.7194993845091349,0.46963060880963725,7.616409673027438,3.506044583907496e-08,Direct_Binding,30,7.261798191377697,Scaffold_268,Cluster_048,Train,2024-01-02 18:00:00
GPCR_0144,BDBM304553,c1ccc2c(c1)OCCn2S(=O)(=O)N,GPCR,Dopamine_D2,214.24599999999998,0.08889999999999987,72.63,1,3,1,1,-0.5099814552696998,-1.4214858158907824,0.5961912553002165,-0.811212437284188,0.12045466604305038,-1.3726528096588775,-0.4885292248583149,8.52599096502926,4.214131291985054e-09,Functional,37,7.408434551879376,Scaffold_156,Cluster_057,Train,2024-01-02 19:00:00
Kinase_0291,BDBM218414,c1cc(ccc1N)c2ncnc3c2cc(cc3)OCC,Kinase,VEGFR2,265.31600000000003,3.277700000000001,61.03,1,4,3,3,1.0359228826428615,1.0431101311548598,0.10263081329402814,-0.811212437284188,0.9991671219254472,-0.06634595935939212,1.4277904424775893,7.632984662446408,4.0919294252868086e-08,Direct_Binding,37,7.223973055466094,Scaffold_032,Cluster_183,Train,2024-01-02 20:00:00
Kinase_0071,BDBM873422,c1cc(ccc1C(=O)N)Nc2nccc(n2)C,Kinase,ABL1,228.255,1.62752,80.9,2,4,3,2,-0.0859247904994419,-0.2322997220487838,0.9480658117994566,0.3140535153918265,0.9991671219254472,-0.06634595935939212,0.46963060880963725,6.806531340826262,3.1483919418308926e-07,Functional,25,7.219353622369159,Scaffold_107,Cluster_082,Train,2024-01-02 21:00:00
Protease_0327,BDBM625436,C1CCC(CC1)NC(=O)C(C)NC(=O)O,Protease,Factor_Xa,214.26500000000001,1.0914,78.43,3,2,3,0,-0.5094063195262029,-0.6466622343198919,0.8429714763033114,1.4393194680678412,-0.7582577898393464,-0.06634595935939212,-1.446689058526267,8.004848515207991,1.1660386632974983e-08,Direct_Binding,37,7.1707650254430355,Scaffold_117,Cluster_019,Train,2024-01-02 22:00:00
Kinase_0097,BDBM578720,c1cc(ccc1C(=O)N)Nc2nccc(n2),Kinase,VEGFR2,214.228,1.3191,80.9,2,4,3,2,-0.5105263207109058,-0.47067487319900236,0.9480658117994566,0.3140535153918265,0.9991671219254472,-0.06634595935939212,0.46963060880963725,6.716847041559687,1.7418477060756853e-07,Direct_Binding,25,7.151147584881674,Scaffold_125,Cluster_183,Train,2024-01-02 23:00:00
Kinase_0011,BDBM182954,c1cc(ccc1C(=O)N)Nc2nccc(n2)O,Kinase,CDK2,230.227,1.0247,101.13000000000001,3,5,3,2,-0.02623175438501894,-0.6982140875775262,1.8088182033326634,1.4393194680678412,1.877879577807844,-0.06634595935939212,0.46963060880963725,6.45511834607813,1.5158639684782122e-07,Functional,25,7.379581854951529,Scaffold_245,Cluster_053,Train,2024-01-03 00:00:00
Kinase_0297,BDBM275490,c1cc(ccc1C(=O)N)Nc2nccc(n2)S,Kinase,CDK2,246.29500000000002,1.6078,80.9,3,5,3,2,0.4601514627988274,-0.24754113953364973,0.9480658117994566,1.4393194680678412,1.877879577807844,-0.06634595935939212,0.46963060880963725,7.074279981314987,1.0780650960159635e-07,Direct_Binding,25,6.511706610730904,Scaffold_238,Cluster_127,Train,2024-01-03 01:00:00
Protease_0187,BDBM537350,c1cc(ccc1S(=O)(=O)N)CN,Protease,Trypsin,186.23599999999996,-0.20729999999999993,86.17999999999999,2,3,2,1,-1.3578526223919014,-1.6504162347050444,1.172720909540204,0.3140535153918265,0.12045466604305038,-0.7194993845091349,-0.4885292248583149,7.802312688260375,1.2979899131242137e-08,Direct_Binding,37,6.81283419752422,Scaffold_051,Cluster_053,Train,2024-01-03 02:00:00
GPCR_0131,BDBM932527,C1CC(CCC1N)c2ccccc2C(=O)O,GPCR,Dopamine_D2,219.28400000000002,2.3697,63.32000000000001,2,2,2,1,-0.3574796723364017,0.34132478246022696,0.2000664522762846,0.3140535153918265,-0.7582577898393464,-0.7194993845091349,-0.4885292248583149,8.943940537808793,1.2320636225491117e-09,Direct_Binding,25,7.292594813209135,Scaffold_275,Cluster_147,Train,2024-01-03 03:00:00
Kinase_0287,BDBM477934,c1ccc2c(c1)ncc(n2)c3ccccc3NCCC,Kinase,VEGFR2,263.344,4.118700000000002,37.81,1,3,4,3,0.9762298465284377,1.6931117591859017,-0.8853410369976701,-0.811212437284188,0.12045466604305038,0.5868074657903506,1.4277904424775893,8.018369235744663,8.326424335508257e-09,Direct_Binding,30,7.136096046409542,Scaffold_027,Cluster_164,Train,2024-01-03 04:00:00
Kinase_0102,BDBM556106,c1ccc2c(c1)ncc(n2)c3ccccc3,Kinase,ABL1,206.248,3.296800000000001,25.78,0,2,1,3,-0.7520833329792092,1.057872356000749,-1.3971972540092605,-1.9364783899602027,-0.7582577898393464,-1.3726528096588775,1.4277904424775893,7.868927201585197,1.2340353065136471e-08,Direct_Binding,37,7.479104938015155,Scaffold_164,Cluster_157,Train,2024-01-03 05:00:00
GPCR_0048,BDBM107577,C1CC(CCC1N)c2ccccc2NBr,GPCR,Adrenergic_Beta2,269.18600000000004,3.393300000000001,38.05,2,2,2,1,1.153068952502302,1.132456371583383,-0.8751294416458181,0.3140535153918265,-0.7582577898393464,-0.7194993845091349,-0.4885292248583149,8.721206240771977,1.2324350466755394e-09,Direct_Binding,25,6.654925311143443,Scaffold_038,Cluster_004,Train,2024-01-03 06:00:00
Protease_0066,BDBM820208,c1ccc(cc1)C(=O)NC(C)C(=O)CCOC,Protease,Trypsin,235.28299999999993,1.4104999999999999,55.400000000000006,1,3,6,1,0.1268148939894825,-0.4000326035176265,-0.13691619433483734,-0.811212437284188,0.12045466604305038,1.8931143160898358,-0.4885292248583149,7.449971333300199,4.717957684840573e-08,Enzymatic,25,7.2331603781368,Scaffold_101,Cluster_012,Train,2024-01-03 07:00:00
GPCR_0019,BDBM301205,C1CC(CCC1N)c2ccccc2NCC,GPCR,Dopamine_D2,218.34400000000002,3.1033000000000017,38.05,2,2,3,1,-0.38593375648830697,0.9083178791588868,-0.8751294416458181,0.3140535153918265,-0.7582577898393464,-0.06634595935939212,-0.4885292248583149,9.0,1.0580349103494465e-09,Direct_Binding,37,6.5851034861197855,Scaffold_245,Cluster_098,Train,2024-01-03 08:00:00
Protease_0039,BDBM201690,c1ccc(cc1)C(=O)NC(C)C(=O)CC(=O)O,Protease,Trypsin,235.23899999999995,0.8486999999999998,83.47,2,3,5,1,0.12548300068875554,-0.8342429657386004,1.0574149786922067,0.3140535153918265,0.12045466604305038,1.2399608909400932,-0.4885292248583149,7.952816421742466,1.2935093487846655e-08,Functional,25,7.498792935815654,Scaffold_060,Cluster_053,Train,2024-01-03 09:00:00
Kinase_0031,BDBM572161,c1ccc(cc1)NC(=O)Nc2ccc(cc2),Kinase,ABL1,212.252,3.3306000000000004,41.13,2,1,2,2,-0.5703404380344854,1.0839960837385003,-0.7440806346303815,0.3140535153918265,-1.6369702457217434,-0.7194993845091349,0.46963060880963725,7.367390008165591,3.643691829089894e-08,Direct_Binding,20,6.787137958084576,Scaffold_227,Cluster_177,Train,2024-01-03 10:00:00
Kinase_0366,BDBM295692,c1ccc2c(c1)ncc(n2)c3ccccc3Br,Kinase,VEGFR2,285.144,4.059300000000001,25.78,0,2,1,3,1.636122436434328,1.6472020128065386,-1.3971972540092605,-1.9364783899602027,-0.7582577898393464,-1.3726528096588775,1.4277904424775893,7.980923929217125,1.519592200985444e-08,Functional,37,7.388403672308681,Scaffold_043,Cluster_030,Train,2024-01-03 11:00:00
Protease_0218,BDBM561421,C1CCC(CC1)NC(=O)C(C)NC(=O)N,Protease,Factor_Xa,213.281,0.49210000000000037,84.22,3,2,3,0,-0.539192296978836,-1.1098560222854124,1.0893262141667448,1.4393194680678412,-0.7582577898393464,-0.06634595935939212,-1.446689058526267,7.834115553375246,9.577868425818083e-09,Direct_Binding,25,6.732858556876094,Scaffold_244,Cluster_075,Train,2024-01-03 12:00:00
Kinase_0077,BDBM652329,c1cc(ccc1N)c2ncnc3c2cc(cc3)N(C)CC,Kinase,VEGFR2,278.3590000000001,3.3351000000000015,55.04,1,4,3,3,1.4307384354016948,1.0874740948278467,-0.1522335873626159,-0.811212437284188,0.9991671219254472,-0.06634595935939212,1.4277904424775893,7.743144060235726,3.266211967044069e-08,Enzymatic,25,7.319063513861656,Scaffold_102,Cluster_002,Train,2024-01-03 13:00:00
Kinase_0395,BDBM749838,c1ccc2c(c1)ncc(n2)c3ccccc3,Kinase,CDK2,206.248,3.296800000000001,25.78,0,2,1,3,-0.7520833329792092,1.057872356000749,-1.3971972540092605,-1.9364783899602027,-0.7582577898393464,-1.3726528096588775,1.4277904424775893,8.108940018108193,1.104099387025171e-08,Enzymatic,20,6.9888978317924515,Scaffold_052,Cluster_062,Train,2024-01-03 14:00:00
Kinase_0055,BDBM127645,c1cc(ccc1C(=O)N)Nc2nccc(n2)CC,Kinase,ABL1,242.28199999999998,1.8815000000000002,80.9,2,4,4,2,0.3386767397120219,-0.036000776166115675,0.9480658117994566,0.3140535153918265,0.9991671219254472,0.5868074657903506,0.46963060880963725,6.917810928374393,2.1599086581722692e-07,Functional,25,6.583464084989384,Scaffold_278,Cluster_169,Train,2024-01-03 15:00:00
